	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
ENSG00000132612	141	34	52	87	62	34	134	45	62	27	46	69	24	73	85	108	50	102	52	118	95	105	54	78	150	25	46	108	140	147	45	5	25	51	90	25	52	37	90	49	44	51	88
ENSG00000272549	0	0	0	5	2	1	0	1	0	0	0	0	0	0	0	3	4	2	1	0	1	0	0	2	10	0	1	0	0	3	0	0	0	0	1	1	0	0	0	0	0	2	0
ENSG00000225612	1	1	1	3	2	0	7	3	0	0	1	2	0	0	1	1	0	2	0	3	0	8	0	0	6	0	4	1	3	1	1	1	0	3	1	0	1	0	0	0	3	0	4
ENSG00000258534	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	2	0	0	0	4	2	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000286731	0	1	0	1	0	0	0	1	2	0	1	0	0	0	0	1	0	1	2	0	1	1	1	0	4	3	0	0	0	2	0	0	0	0	1	0	1	0	2	0	0	2	0
ENSG00000185269	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
ENSG00000270111	13	2	0	18	7	2	0	4	4	3	0	5	0	0	1	10	10	14	6	12	4	2	3	3	25	12	0	0	0	16	4	1	5	5	9	2	1	1	1	1	0	4	0
ENSG00000163481	170	52	96	96	77	48	193	54	78	33	65	52	24	98	153	141	54	148	75	123	131	154	71	89	204	23	45	130	280	168	72	15	47	31	85	19	64	45	104	40	93	74	106
ENSG00000287879	5	0	2	1	4	3	3	4	2	0	4	3	1	0	3	6	5	8	2	4	2	0	1	1	8	1	3	3	1	8	2	2	0	2	1	0	0	0	2	4	0	2	0
ENSG00000283845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000288629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240590	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	1	0	1	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000145868	2620	1338	1575	3408	2504	1148	5605	1857	1756	855	1519	2853	1015	3291	3268	1917	1574	1830	2485	6266	2583	3818	2454	3902	3641	1809	1367	1835	4826	3223	1701	899	1047	1771	3492	1209	1050	3007	3973	1958	1850	1758	3154
ENSG00000070669	9	2	5	15	5	7	17	8	14	5	15	11	2	12	12	4	5	5	5	14	12	21	5	6	18	4	2	13	33	20	6	4	9	5	18	5	6	9	6	8	0	11	8
ENSG00000219451	1	3	2	1	0	0	4	2	0	0	1	0	0	0	1	0	0	0	2	0	3	1	0	1	2	0	0	0	1	1	0	0	1	0	0	0	1	2	0	0	0	2	0
ENSG00000279214	0	0	0	0	0	0	2	0	0	0	5	1	0	0	0	0	0	0	0	8	1	2	1	0	1	1	0	1	3	1	3	0	0	1	0	0	1	3	0	0	0	1	4
ENSG00000234921	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
