	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
ENSG00000255345	3	0	0	2	6	2	0	0	4	1	0	3	0	0	0	2	0	4	2	3	0	0	0	0	11	2	1	0	0	1	1	2	0	2	5	0	2	2	3	0	0	3	0
ENSG00000212864	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254508	0	1	0	2	2	0	0	2	1	0	0	1	0	0	1	1	0	0	2	2	0	0	0	0	3	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
ENSG00000234732	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0
ENSG00000284731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198939	8	3	0	12	6	3	1	0	3	2	0	4	0	1	1	1	3	3	8	8	2	0	0	0	12	8	3	3	1	9	3	0	0	0	7	0	2	0	4	1	0	4	1
ENSG00000124164	17	10	6	30	16	19	31	17	14	2	13	21	1	7	16	23	18	31	20	36	10	22	12	14	61	22	18	10	8	34	17	5	13	7	23	3	5	12	18	16	6	19	10
ENSG00000280417	12	3	4	3	4	1	0	0	4	0	2	4	0	3	8	1	6	5	7	10	4	5	1	2	4	5	3	5	12	6	4	1	1	2	8	1	1	2	6	6	0	3	1
ENSG00000228392	6	1	0	7	5	0	1	1	1	0	1	1	0	0	1	5	2	6	6	13	3	0	0	3	13	10	0	1	0	0	4	0	0	0	6	1	0	0	1	0	0	2	0
ENSG00000254879	18	6	29	28	31	31	75	31	13	5	26	28	12	70	29	14	8	24	17	54	17	41	13	35	16	12	15	38	44	26	12	14	17	31	51	17	5	43	139	80	5	14	17
ENSG00000280129	2	0	0	1	2	1	0	1	0	1	0	0	0	2	1	0	0	1	1	3	0	1	0	0	2	0	1	2	0	2	0	0	1	1	0	0	0	0	1	0	0	2	0
ENSG00000229335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000212961	1	2	0	3	3	2	3	1	2	1	4	0	0	1	1	6	2	0	1	10	3	4	2	1	6	1	1	2	2	2	3	0	1	2	1	0	0	0	2	1	0	1	1
ENSG00000136834	1	0	0	1	2	0	2	0	0	3	0	2	0	0	0	0	0	1	2	4	1	1	1	0	1	0	0	1	3	0	0	0	1	1	3	0	0	0	1	0	2	1	1
ENSG00000237614	3	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	3	2	3	0	0	0	0	8	1	0	2	0	1	0	0	0	0	1	0	2	1	1	1	0	1	0
