gene	P4	P5	P6	P7	P8	P9	P10	PE Fitness	PE vs. Cell Culture Differential Fitness	PE p-value	PE Composite Score	Liver Fitness	Liver vs. Cell Culture Differential Fitness	Liver p-value	Liver Composite Score	Spleen Fitness	Spleen vs. Cell Culture Differential Fitness	Spleen p-value	Spleen Composite Score	Lung Fitness	Lung vs. Cell Culture Differential Fitness	Lung p-value	Lung Composite Score
TGGT1_267270	-0.402935759909099	-0.430960566793229	-0.407074204276718	-0.45099360178709	-0.38494583313257	-0.396415440886905	-0.420049318941469	-0.589158924487691	-0.223345601330497	0.0003134399619723	-0.782568510103778	-0.827623509814495	-0.195504015584931	0.242598516539561	-0.120256838491733	-1.44115983418136	-0.573905677294752	0.017835829788311	-1.00359269208097	-1.12089226901617	-0.521859643131203	0.0104809836968979	-1.03307228210881
TGGT1_310870	-0.415528151601265	-0.778336380111171	-1.14147718858148	-1.45910704481669	-1.87092660027424	-2.33766939700824	-2.79392155695858	-2.10023908355344	-0.291172875506447	0.0020967392010572	-0.779893614622224	-2.13957775771752	-0.0327428890091329	0.887920436271044	-0.0016903826927719	-2.59754023841106	-0.435936895407282	0.227249178509096	-0.280524379970597	-1.96233814555989	-0.145856461875087	0.638784832933001	-0.0283902899675372
TGGT1_267570	-5.02578243032285	-6.17163082744035	-6.49365609510441	-6.55074849710384	-6.54646568492369	-7.60165191260598	-6.68277643893958	-7.17935929704601	-0.517567031382927	0.0316892906686426	-0.775878257803201	-7.7082946593006	-0.41228614220494	0.140131903084571	-0.351870959515927	-7.72312905814591	-0.126361140549374	0.696665900983378	-0.0198355963856543	-8.88757733834054	-1.88837134107022	1.62E-07	-12.8224859943339
TGGT1_289960	-0.0692736711692393	-0.275208422025632	-0.456742835535031	-0.632565603408083	-0.908078889623762	-1.15881298935789	-1.32983310097517	-1.39266851052675	-0.430241335723724	0.0159413640711427	-0.773347838253244	-1.4980529751852	0.105554141474162	0.609886490644365	0.0226678560024942	-3.29471098055242	-1.63578097109078	2.57E-07	-10.7786354479975	-4.07520059603327	-2.82638700547173	6.78E-12	-31.5679751038086
TGGT1_268840	-4.79563879032792	-5.45739260626795	-5.57869829142991	-5.54389984892116	-5.60723996492578	-5.85144046241248	-6.05716490442765	-6.32782848598516	-0.245653896309779	0.0007169510245235	-0.772461258844557	-8.03842819258597	-1.66886994492985	8.48E-11	-16.8084160321789	-8.07140329058585	-1.58447812343975	1.48E-07	-10.8194431553677	-7.42913784296264	-0.579126295655537	0.0142889702153297	-1.06848747633742
TGGT1_300090	1.51175499447099	1.54440276701093	1.46700132778179	1.34530280467157	1.16154480700571	1.284926997309	1.26795696163728	0.933827783937418	-0.283475278316103	0.0019187099213539	-0.770199688846714	1.03362224456335	0.358071628519726	0.197857106821605	0.251956509054109	0.665304549178438	0.259381190073067	0.455559304231316	0.0885670247505389	0.67060911410074	0.0838580074063444	0.810969409216007	0.0076307036285009
TGGT1_232150	-4.77106229427402	-5.43994509217112	-5.45124889241632	-5.47855931534185	-5.27933670083816	-5.52031352821679	-5.50796908216688	-5.82087546436054	-0.345027484845108	0.0058981578822801	-0.769164115724427	-7.87221917086187	-1.58785875627631	3.36E-10	-15.0434535535033	-6.78515275634364	-0.53304905223748	0.0226759943144523	-0.876563804235115	-6.9961725446877	-1.1920261669776	0.00028500920785	-4.22590096746693
TGGT1_230905	-0.226158964254193	-0.166451248109096	-0.135410760634984	-0.065956555946453	-0.102867853486277	-0.0436656779333265	0.0173919802196006	-0.431781411133855	-0.283273507346916	0.0019299125177476	-0.76893527808311	-0.704473683393707	-0.089593813907596	0.572393149128539	-0.0217090804048744	-0.778655920114332	0.123532003272491	0.554793483362355	0.0316079667631025	-1.25551582726345	-0.822637335819928	0.0095598251868085	-1.6613572720794
TGGT1_254340	-0.803669161615207	-0.90811759760903	-0.958037052372597	-0.989649219689668	-0.829883724754648	-0.999356774016971	-0.97366992948161	-1.1683273795764	-0.227958248525884	0.0004446577662526	-0.764110149050507	-1.90793802994787	-0.61828983893728	0.0022668098758029	-1.63511997431123	-2.0978185266855	-0.665589414379273	0.010378584665309	-1.32043745858888	-2.0176411360783	-0.589898919919995	0.0176998527910017	-1.03352080855641
TGGT1_411620	0.2857227545244	0.32716941829326	0.326040012535364	0.33869258566375	0.395473968801072	0.370721983170338	0.412010455853656	0.229492039078003	-0.226445035038033	0.0004232807080086	-0.763883233184961	0.0879515795414866	-0.105853836978555	0.557542174925161	-0.0268574763468804	-0.432573115204992	-0.388432811380033	0.199076737604982	-0.272283432049152	-0.0634041258800231	-0.36405349365026	0.0556388217733123	-0.456749549742218
