	SRR065639	SRR065640	SRR065641	SRR065642	SRR065643	SRR065644	SRR065645	SRR065646
PF3D7_0406000	694	453	578	782	1042	958	1452	1619
PF3D7_1408300	2	8	4	8	6	7	15	20
PF3D7_0816300	42	96	173	299	640	864	894	229
PF3D7_1352200	1557	1658	1809	1557	1779	924	931	545
PF3D7_1122100	29	30	15	14	43	167	442	309
PF3D7_1320200	42	42	34	40	229	336	538	365
PF3D7_0508200	65	42	30	25	63	204	561	562
PF3D7_1121600	30200	19316	12770	18211	36514	19909	20618	8678
PF3D7_1231400	8333	2112	254	137	355	373	531	768
PF3D7_1216500	1257	1954	1605	1106	706	288	476	544
PF3D7_0532100	9369	23614	26629	40363	83435	41364	26704	10246
PF3D7_1412500	159	927	1213	1405	1798	656	466	197
PF3D7_1322000	1076	180	48	26	282	849	2883	2532
PF3D7_1002900	468	868	991	709	383	647	1835	1715
PF3D7_1001200	44	27	56	395	2431	2534	3045	1630
PF3D7_1308100	49	40	31	59	388	744	1373	639
PF3D7_0806300	383	125	50	22	18	17	853	2235
PF3D7_1249300	201	560	768	904	1358	1359	2519	1749
PF3D7_1027000	84	94	52	48	290	739	1035	275
PF3D7_0816000	646	1280	1635	1613	1812	865	767	332
PF3D7_0318700	3310	764	94	15	8	1	9	180
PF3D7_0910600	404	122	94	199	322	215	340	378
PF3D7_0104500	81	477	889	1333	2260	1741	1683	411
PF3D7_1249600	90	62	24	20	131	369	754	581
PF3D7_0727800	194	536	1592	2575	3738	2812	5425	2798
PF3D7_0504700	718	1170	998	1382	1532	3051	5289	1817
PF3D7_0402200	43848	20618	5303	1185	234	126	149	1753
PF3D7_0305200	4135	4559	5104	5337	6733	3491	4362	5500
PF3D7_0607100	8	12	24	11	15	11	23	23
PF3D7_1338100	466	522	1390	2095	2894	2815	5983	6245
PF3D7_0502800	77	552	834	791	719	519	502	104
PF3D7_0705900	166	189	242	338	667	1254	2689	2109
PF3D7_1407200	1433	620	305	332	465	402	620	365
PF3D7_0524900	476	1241	1692	1955	2362	1301	1003	331
PF3D7_1216400	1210	2263	2438	1907	1327	1200	2487	1973
PF3D7_1132400	374	400	1337	2519	3603	3266	5596	3683
PF3D7_0308700	1046	290	72	35	22	46	154	633
PF3D7_1241200	1005	2292	3334	3076	4145	2916	5488	3028
PF3D7_0611100	18	8	3	4	13	68	249	253
PF3D7_1332000	459	410	390	459	440	375	677	585
PF3D7_1124400	162	338	485	469	605	387	430	236
PF3D7_0531200	31	15	12	13	156	185	271	162
PF3D7_0928000	474	162	130	184	268	325	885	1836
PF3D7_0804300	1247	1748	1772	1619	1353	868	936	405
PF3D7_0617300	253	116	32	16	39	127	566	1047
PF3D7_0526800	540	2068	2201	2763	3450	3081	4029	1985
PF3D7_1445600	1700	1739	2003	2035	2781	1805	2667	1371
PF3D7_0424700	1349	7905	10881	10029	3367	796	463	170
PF3D7_1131000	49	14	8	53	449	800	787	316
PF3D7_0632700	10	31	35	28	37	6	17	46
PF3D7_1461800	930	1586	1060	713	420	229	363	287
PF3D7_1208800	1211	1762	1851	1372	1154	822	1719	1425
PF3D7_1442200	345	175	87	87	457	784	1240	465
PF3D7_1349400	107	543	699	619	690	553	472	196
PF3D7_1039900	3	8	9	7	5	2	0	0
PF3D7_1018600	4337	3586	4326	4686	6689	4087	3628	1864
PF3D7_0111700	8	45	104	110	154	118	199	100
PF3D7_API06700	1	0	0	2	1	0	1	0
PF3D7_0727900	536	889	1279	1078	617	316	869	643
PF3D7_1002700	399	668	809	590	518	1000	3654	2806
PF3D7_1124600	5619	1601	266	396	1685	2003	3523	4204
PF3D7_0701900	21842	18414	6237	1865	355	61	52	189
PF3D7_1424700	60	241	65	102	178	189	333	182
PF3D7_0903700	300	260	135	137	613	2007	4364	5594
PF3D7_0417600	105	69	53	21	18	65	174	255
PF3D7_1418100	12	17	18	14	38	55	104	59
PF3D7_0628100	12107	2919	503	176	115	114	1022	13280
PF3D7_1309300	2251	5259	5390	4410	3606	2407	4274	2833
PF3D7_0900700	0	0	0	0	0	0	0	0
PF3D7_0710400	36	57	146	241	389	373	476	298
PF3D7_1474400	190	270	211	221	389	411	1105	841
PF3D7_1451200	23916	25498	18411	11259	9860	6621	12975	7516
PF3D7_1455200	75	35	28	42	297	827	1148	500
PF3D7_1139500	4	14	12	5	35	80	93	21
PF3D7_0703300	9	28	98	200	467	296	460	246
PF3D7_1411500	1368	2602	3129	2544	3006	1745	1558	402
PF3D7_1232500	8041	2583	334	97	54	112	1318	3559
PF3D7_0214600	30077	10335	1290	321	71	67	110	2532
PF3D7_1217400	1436	381	129	185	308	196	265	1257
PF3D7_1213500	11	16	4	2	36	33	34	38
PF3D7_1229900	268	197	158	242	347	388	809	486
PF3D7_0913400	11	16	25	53	161	222	235	77
PF3D7_0527800	0	0	0	2	1	1	2	0
PF3D7_0107900	17	43	133	306	453	371	521	277
PF3D7_1439200	100	289	412	432	579	449	637	275
PF3D7_0934300	54	19	5	5	67	189	425	368
PF3D7_1470950	35	34	21	27	25	11	7	12
PF3D7_0203200	154	363	445	450	460	291	429	389
PF3D7_1109700	3	10	6	12	11	4	6	4
PF3D7_0616100	124	249	311	345	449	293	465	356
PF3D7_0805000	45	21	21	4	20	117	418	441
PF3D7_1465200	229	812	1147	1092	1524	1150	1433	665
PF3D7_1027100	2645	4819	5254	5066	5217	3446	3371	1074
PF3D7_0514900	159	309	377	397	439	353	668	577
PF3D7_1408700	4739	10966	13256	9195	7288	5158	14675	11524
PF3D7_1142500	621	1942	2910	3606	4737	3102	3606	1636
PF3D7_1121800	63	53	41	41	27	26	67	26
PF3D7_1245000	31	43	14	20	43	46	133	119
PF3D7_1203600	70	137	110	129	188	215	526	322
PF3D7_1135900	495	600	771	720	536	1460	4241	6709
PF3D7_0609500	24	20	32	48	17	9	35	43
PF3D7_0415700	434	100	21	36	156	235	663	451
PF3D7_0105000	385	252	224	228	316	350	533	259
PF3D7_1316800	185	634	861	797	987	865	1636	1158
PF3D7_0928400	0	0	0	0	3	0	0	0
PF3D7_0717500	4140	1615	836	916	1133	502	1089	2855
PF3D7_1369300	43	77	63	49	27	15	28	26
PF3D7_MIT03100	0	0	0	0	0	0	0	0
PF3D7_1031900	14	16	21	12	79	144	182	99
PF3D7_0529200	37	33	17	20	94	167	236	108
PF3D7_1405100	479	265	454	663	1412	830	923	512
PF3D7_1134700	1623	3046	3510	3284	4028	1719	1105	301
PF3D7_1442100	26	23	18	140	574	613	1158	687
PF3D7_1350000	49	85	63	59	103	128	309	110
PF3D7_1142700	133	584	950	1079	1279	773	834	339
PF3D7_1111600	17	19	21	10	24	25	76	84
PF3D7_1012800	47	37	18	28	121	233	377	193
PF3D7_0409500	69	43	22	23	44	448	1106	782
PF3D7_0218500	352	769	999	1091	1283	943	1450	734
PF3D7_0720900	85	45	28	45	236	376	765	548
PF3D7_1308200	8335	17185	23260	26337	39945	24350	24375	8839
PF3D7_1302000	5275	13630	12355	10765	7437	2771	1661	361
PF3D7_0222200	0	2	114	0	0	1	0	0
PF3D7_1241800	2381	4588	5068	5038	6096	3892	3391	1395
PF3D7_1032600	16	49	53	79	113	122	234	226
PF3D7_1025600	53	43	29	18	251	942	1735	649
PF3D7_1219700	20	15	8	6	8	10	13	6
PF3D7_0531500	10	6	29	46	60	55	78	34
PF3D7_1039000	784	4325	7805	9317	16130	3967	1153	198
PF3D7_1364400	1421	2276	2876	3144	3598	2277	3590	2267
