	PL01	PL02	3D7
PF3D7_0532100	13616	4063	2823
PF3D7_1412500	637	171	152
PF3D7_1322000	139	52	15
PF3D7_1002900	231	118	14
PF3D7_1001200	106	51	5
PF3D7_1308100	85	37	18
PF3D7_0806300	236	133	72
PF3D7_1249300	961	387	268
PF3D7_1027000	112	23	85
PF3D7_0816000	542	132	92
PF3D7_0318700	615	119	391
PF3D7_0910600	80	35	3
PF3D7_0104500	1631	496	1242
PF3D7_1249600	43	24	10
PF3D7_0727800	877	337	132
PF3D7_0504700	157	55	38
PF3D7_0402200	877	171	156
PF3D7_0305200	196	77	24
PF3D7_0607100	21	6	1
PF3D7_1338100	1519	581	227
PF3D7_0502800	95	26	7
PF3D7_0705900	179	90	104
PF3D7_1407200	562	221	199
PF3D7_0524900	680	159	251
PF3D7_1216400	2071	1034	1016
PF3D7_1132400	217	84	38
PF3D7_0308700	70	21	19
PF3D7_1241200	542	223	175
PF3D7_0611100	29	6	2
PF3D7_1332000	698	234	77
PF3D7_1124400	163	53	9
PF3D7_0531200	3	0	1
PF3D7_0928000	408	148	373
PF3D7_0804300	2164	624	2259
PF3D7_0617300	313	136	28
PF3D7_0526800	2252	814	459
PF3D7_1445600	1418	520	201
PF3D7_0424700	3643	875	1605
PF3D7_1131000	445	114	293
PF3D7_0632700	3	6	21
PF3D7_1461800	1422	318	139
PF3D7_1208800	337	116	229
PF3D7_1442200	69	20	15
PF3D7_1349400	67	34	14
PF3D7_1039900	0	0	0
PF3D7_1018600	326	148	88
PF3D7_0111700	2	1	1
PF3D7_0727900	297	105	57
PF3D7_1002700	198	78	70
PF3D7_1124600	1146	455	247
PF3D7_0701900	1810	450	428
PF3D7_1424700	3	1	0
PF3D7_0903700	11181	3891	1293
PF3D7_0417600	167	60	52
PF3D7_1418100	8	1	0
PF3D7_0628100	1390	403	576
PF3D7_1309300	543	257	126
PF3D7_0900700	41	7	1
PF3D7_0710400	11	8	2
PF3D7_1474400	228	62	9
PF3D7_1451200	9613	3072	5051
PF3D7_1455200	76	31	9
PF3D7_1139500	10	0	2
PF3D7_0703300	12	7	2
PF3D7_1411500	108	33	15
PF3D7_1232500	818	278	149
PF3D7_0214600	462	118	139
PF3D7_1217400	629	153	88
PF3D7_1213500	2	3	1
PF3D7_1229900	61	23	4
PF3D7_0913400	48	13	3
PF3D7_0527800	0	0	0
PF3D7_0107900	31	19	4
PF3D7_1439200	61	26	7
PF3D7_0934300	65	20	115
PF3D7_1470950	237	72	33
PF3D7_0203200	59	24	4
PF3D7_1109700	0	2	0
PF3D7_0616100	87	33	16
PF3D7_0805000	29	13	0
PF3D7_1465200	122	54	14
PF3D7_1027100	1038	357	437
PF3D7_0514900	121	67	94
PF3D7_1408700	766	285	216
PF3D7_1142500	1107	418	59
PF3D7_1121800	4	4	1
PF3D7_1245000	13	7	0
PF3D7_1203600	10	5	2
PF3D7_1135900	161	48	44
PF3D7_0609500	11	4	0
PF3D7_0415700	23	10	3
PF3D7_0105000	166	87	18
PF3D7_1316800	125	42	48
PF3D7_0928400	0	0	0
PF3D7_0717500	2018	597	494
PF3D7_1369300	10	2	0
PF3D7_1031900	24	6	5
PF3D7_0529200	43	21	13
PF3D7_1405100	280	92	66
PF3D7_1134700	878	313	366
PF3D7_1442100	118	74	14
PF3D7_1350000	41	15	5
PF3D7_1142700	259	77	49
PF3D7_1111600	14	5	1
PF3D7_1012800	50	19	7
PF3D7_0409500	285	114	52
PF3D7_0218500	1128	428	86
PF3D7_0720900	586	176	170
PF3D7_1308200	4134	1100	1552
PF3D7_1302000	473	161	162
PF3D7_0222200	0	0	0
PF3D7_1241800	1226	382	646
PF3D7_1032600	2	5	1
PF3D7_1025600	113	65	25
PF3D7_1219700	39	9	6
PF3D7_0531500	0	1	0
PF3D7_1039000	922	559	308
PF3D7_1364400	824	232	161
PF3D7_0323700	522	176	207
PF3D7_1337600	0	0	0
PF3D7_0208600	416	127	51
PF3D7_1027600	25	12	2
PF3D7_0928150	0	0	0
PF3D7_0713100	7	16	10
PF3D7_0908000	343	174	48
PF3D7_1203900	2060	646	302
PF3D7_0618800	24	7	7
PF3D7_1254600	1	5	0
PF3D7_0210900	1057	391	129
PF3D7_1224400	78	27	5
PF3D7_1369700	47	27	4
PF3D7_0306200	163	49	43
PF3D7_1239500	113	55	59
PF3D7_1478800	78	18	27
PF3D7_1427500	355	140	30
PF3D7_0627100	1666	638	526
PF3D7_1009300	212	83	54
PF3D7_1113600	152	56	49
PF3D7_0804900	281	102	138
PF3D7_1146600	1276	575	241
PF3D7_1368100	1564	471	158
PF3D7_0316300	1029	433	141
PF3D7_1467600	635	226	60
PF3D7_1432600	354	121	62
PF3D7_1102700	4694	1690	1064
PF3D7_1111200	212	92	59
PF3D7_1316400	18	1	2
PF3D7_0714000	4541	2387	963
PF3D7_0816900	4	0	0
PF3D7_1343100	220	107	100
PF3D7_0932600	254	94	49
PF3D7_0307100	2860	985	267
PF3D7_0900900	2	6	0
PF3D7_0111600	2	1	3
PF3D7_0924200	147	61	27
PF3D7_0405300	50	13	13
PF3D7_1401600	801	288	301
PF3D7_1340900	6879	2295	1958
PF3D7_0614900	81	46	14
PF3D7_0209700	1621	637	541
PF3D7_1227900	27	4	4
PF3D7_1031200	1515	632	1007
PF3D7_1030400	7	8	0
PF3D7_0108800	339	137	121
PF3D7_1401700	95	23	27
PF3D7_1476600	975	373	134
PF3D7_0415400	481	143	229
PF3D7_0626000	163	54	59
PF3D7_1253300	8	1	4
PF3D7_0106400	96	38	8
PF3D7_0603000	22	8	3
PF3D7_0610900	1212	430	937
PF3D7_1105000	10415	2782	20549
PF3D7_1338600	881	329	328
PF3D7_0722300	363	135	24
PF3D7_1410200	978	270	203
PF3D7_0606300	6	2	1
PF3D7_0525800	6048	1460	830
PF3D7_1026200	83	37	39
PF3D7_1347900	78	28	12
PF3D7_1200700	4568	1471	1462
PF3D7_1317800	2219	816	109
PF3D7_0200500	0	1	0
PF3D7_1010500	2	3	0
PF3D7_1243800	0	0	0
PF3D7_1301400	3099	1240	1495
PF3D7_0821000	331	152	47
PF3D7_0526300	138	62	17
PF3D7_0803600	306	125	77
PF3D7_0732400	0	24	0
PF3D7_1338800	78	39	21
PF3D7_1203500	343	131	46
PF3D7_1147000	25	13	10
PF3D7_1029800	565	218	85
PF3D7_0419100	44	24	8
PF3D7_0401100	0	0	0
PF3D7_1448700	46	16	8
PF3D7_1445300	127	51	30
PF3D7_0213600	45	11	3
PF3D7_1454400	3385	1012	342
PF3D7_0717300	561	188	91
PF3D7_0609400	1033	294	647
PF3D7_0509100	2113	989	2142
PF3D7_1470500	49	15	2
PF3D7_1030200	912	255	420
PF3D7_1217100	49	15	5
PF3D7_0717600	502	251	114
PF3D7_1312300	78	16	11
PF3D7_0701600	6	34	0
PF3D7_1463500	51	19	3
PF3D7_0414000	692	367	151
PF3D7_1212000	588	199	124
PF3D7_1404900	5776	1913	1730
PF3D7_0316900	186	75	25
PF3D7_1115000	26	8	2
PF3D7_0501900	12	5	0
PF3D7_1131500	100	23	3
PF3D7_0610000	47	20	4
PF3D7_1122400	320	111	71
PF3D7_1115300	317	49	60
PF3D7_0811300	2108	815	252
PF3D7_1458600	207	91	29
PF3D7_1025500	116	38	8
PF3D7_1456700	614	211	257
PF3D7_0529300	117	45	27
PF3D7_0526400	64	38	1
PF3D7_0604000	74	17	9
PF3D7_1305900	207	71	8
PF3D7_1426400	16	9	1
PF3D7_1141000	0	2	0
PF3D7_1433800	40	17	7
PF3D7_0303800	116	35	11
PF3D7_API01700	0	0	0
PF3D7_1472600	197	79	65
PF3D7_0525300	104	26	16
PF3D7_1401500	196	58	73
PF3D7_0702200	565	195	210
PF3D7_0830500	8236	2505	4228
PF3D7_0502300	2	3	0
PF3D7_1425800	161	67	96
PF3D7_1120200	824	279	394
PF3D7_0727200	164	48	26
PF3D7_1425000	0	0	0
PF3D7_1445800	6	4	0
PF3D7_1405300	43	27	2
PF3D7_1116200	132	47	22
PF3D7_1119700	277	89	69
PF3D7_1471600	44	23	4
