	T5	T10	T15	T20	T25	T30	T35	T40
PF3D7_1146600	2	6	4	4	2	2	3	6
PF3D7_1368100	3	3	2	1	1	0	9	7
PF3D7_0316300	43	16	12	14	61	119	270	248
PF3D7_1467600	5	15	14	20	18	11	26	38
PF3D7_1432600	2	11	15	12	9	5	4	3
PF3D7_1102700	35	97	63	18	4	4	8	4
PF3D7_1111200	0	0	0	1	0	3	4	6
PF3D7_1316400	9	27	25	69	20	22	28	16
PF3D7_0714000	4	0	0	0	2	0	10	10
PF3D7_0816900	0	0	0	0	0	0	4	0
PF3D7_1343100	18	26	22	13	16	6	21	29
PF3D7_0932600	0	0	1	0	1	0	1	5
PF3D7_0307100	4	1	9	10	6	6	22	8
PF3D7_0900900	0	0	0	0	0	0	0	0
PF3D7_0111600	2	0	0	0	1	1	2	25
PF3D7_0924200	125	134	226	292	352	228	536	722
PF3D7_0405300	665	60	14	18	38	50	101	313
PF3D7_1401600	15	44	56	87	32	10	19	12
PF3D7_1340900	35	60	70	105	27	22	31	38
PF3D7_0614900	4	19	14	54	29	11	14	10
PF3D7_0209700	25	16	5	1	1	0	8	118
PF3D7_1227900	0	0	0	0	0	0	0	7
PF3D7_1031200	131	66	68	169	139	58	105	164
PF3D7_1030400	17	5	6	6	5	4	0	8
PF3D7_0108800	1760	411	81	28	13	11	3	50
PF3D7_1401700	0	2	3	1	1	0	0	2
PF3D7_1476600	4	2	0	1	1	3	2	7
PF3D7_0415400	51	185	283	275	307	198	283	126
PF3D7_0626000	4	3	5	2	5	2	3	32
PF3D7_1253300	0	0	0	0	0	0	0	0
PF3D7_0106400	1	2	1	0	0	1	6	15
PF3D7_0603000	57	6	7	3	5	10	59	140
PF3D7_0610900	31	45	69	57	50	64	56	28
PF3D7_1105000	422	44	7	9	8	11	25	69
PF3D7_1338600	3	5	3	4	14	25	65	75
PF3D7_0722300	1898	168	60	19	4	9	11	1019
PF3D7_1410200	15	22	52	43	43	55	135	142
PF3D7_0606300	158	82	175	277	282	212	395	544
PF3D7_0525800	4	3	3	3	2	2	3	2
PF3D7_1026200	6	7	6	11	4	4	0	3
PF3D7_1347900	12	9	6	1	3	1	5	5
PF3D7_1200700	30	53	83	103	47	24	21	18
PF3D7_1317800	11	21	17	13	25	11	16	12
PF3D7_0200500	0	3	0	0	0	0	0	0
PF3D7_1010500	2	25	28	38	26	22	19	19
PF3D7_1243800	6213	1104	235	85	75	149	524	548
PF3D7_1301400	2	2	3	8	6	3	0	5
PF3D7_0821000	14	27	13	11	11	3	17	45
PF3D7_0526300	92	13	5	9	9	31	81	255
PF3D7_0803600	9	3	8	9	5	9	32	40
PF3D7_0732400	0	1	0	0	0	0	0	0
PF3D7_1338800	11	3	1	0	2	2	21	106
PF3D7_1203500	20	1	0	1	7	18	39	93
PF3D7_1147000	16	9	20	20	15	47	167	279
PF3D7_1029800	1	1	0	3	2	2	3	1
PF3D7_0419100	18	12	4	7	3	10	22	40
PF3D7_0401100	0	0	0	0	0	0	0	0
PF3D7_1448700	24	190	138	193	75	63	77	74
PF3D7_1445300	31	29	17	35	25	21	19	33
PF3D7_0213600	10	2	3	6	0	11	46	43
PF3D7_1454400	1	5	8	4	1	1	2	7
PF3D7_0717300	30	13	46	35	25	19	41	27
PF3D7_0609400	35	73	233	301	119	222	351	694
PF3D7_0509100	5	0	1	6	2	0	9	11
PF3D7_1470500	4	3	4	3	3	6	3	7
PF3D7_1030200	8	15	9	22	6	8	13	11
PF3D7_1217100	16	5	0	3	19	54	134	135
PF3D7_0717600	32	2	9	4	9	8	10	34
PF3D7_1312300	86	16	10	4	72	195	492	626
PF3D7_0701600	1	0	0	0	0	0	0	0
PF3D7_1463500	18	50	44	27	20	25	74	84
PF3D7_0414000	1	2	0	0	0	0	0	4
PF3D7_1212000	23	12	1	12	7	7	6	17
PF3D7_1404900	3	1	1	0	0	3	3	4
PF3D7_0316900	2	22	11	13	11	4	11	28
PF3D7_1115000	0	3	2	4	0	4	4	5
PF3D7_0501900	16	1	3	4	13	34	139	366
PF3D7_1131500	0	2	0	0	6	4	11	16
PF3D7_0610000	6	24	40	18	18	14	11	19
PF3D7_1122400	3	2	5	4	0	1	1	0
PF3D7_1115300	6	30	29	44	24	12	18	68
PF3D7_0811300	4	8	10	6	16	2	21	17
PF3D7_1458600	25	6	5	2	5	9	24	48
PF3D7_1025500	5	4	3	14	3	10	30	56
PF3D7_1456700	5	0	0	0	1	0	4	4
PF3D7_0529300	79	18	8	30	48	51	87	356
PF3D7_0526400	8	15	27	38	29	22	41	45
PF3D7_0604000	0	1	0	1	0	0	2	4
PF3D7_1305900	1	3	8	2	1	2	4	10
PF3D7_1426400	2	0	0	0	0	0	0	5
PF3D7_1141000	0	0	0	0	0	0	1	0
PF3D7_1433800	1	1	0	0	0	3	9	6
PF3D7_0303800	28	4	0	5	1	5	10	51
PF3D7_API01700	0	0	0	0	0	0	0	0
PF3D7_1472600	1	1	0	1	5	0	4	1
PF3D7_0525300	4	3	2	0	1	3	3	2
PF3D7_1401500	93	125	115	52	16	3	5	4
PF3D7_0702200	243	120	55	74	61	19	22	14
PF3D7_0830500	52	51	50	10	11	4	12	22
PF3D7_0502300	14	3	4	1	1	2	2	13
PF3D7_1425800	70	213	191	215	207	151	145	80
PF3D7_1120200	2	0	1	0	1	0	2	5
PF3D7_0727200	1	3	0	0	1	1	5	4
PF3D7_1425000	3	0	0	1	2	2	2	11
PF3D7_1445800	4	3	6	17	8	12	8	16
PF3D7_1405300	2	3	0	6	19	55	67	63
PF3D7_1116200	378	129	23	20	8	16	67	230
PF3D7_1119700	72	165	142	112	89	92	51	171
PF3D7_1471600	0	0	0	0	2	2	0	1
PF3D7_0519500	16	34	54	44	26	13	20	43
PF3D7_1126100	10	20	11	45	56	51	50	58
PF3D7_1101400	0	0	0	0	0	0	0	0
PF3D7_API03900	0	0	0	0	0	0	0	0
PF3D7_1431900	21	4	14	26	51	30	34	90
PF3D7_1234200	4	1	1	0	4	14	51	56
PF3D7_1104300	0	7	7	12	13	2	12	14
PF3D7_1337800	122	20	8	12	4	4	11	143
PF3D7_1440200	117	6	6	2	3	1	18	413
PF3D7_1119000	8	2	1	4	2	6	8	22
PF3D7_1440300	0	0	0	0	0	0	0	0
PF3D7_1361500	4	4	0	1	4	23	51	45
PF3D7_0513200	22	107	138	226	258	424	872	310
PF3D7_0109800	6	2	3	5	1	5	3	38
PF3D7_1120100	36	6	7	14	11	19	47	150
PF3D7_0604500	7	3	5	3	3	1	10	11
PF3D7_1231200	42	60	127	104	87	67	139	104
PF3D7_1225900	0	5	6	4	4	5	7	14
PF3D7_1235900	4	6	1	1	33	4	8	11
PF3D7_1333000	0	1	0	1	3	0	4	6
PF3D7_0914000	803	64	11	8	5	18	24	104
PF3D7_1016400	11	3	4	0	1	0	25	64
PF3D7_0108400	96	149	216	203	120	63	43	70
PF3D7_0817700	75	8	5	4	0	5	9	62
PF3D7_0607300	18	20	35	40	49	30	110	189
PF3D7_0111500	1	0	0	0	2	2	3	10
PF3D7_1103300	0	0	0	2	0	0	0	0
PF3D7_0101500	0	2	0	0	2	0	0	0
PF3D7_1348400	1	10	20	9	8	6	14	14
PF3D7_1243300	0	0	3	0	0	1	3	10
PF3D7_1228000	13	8	0	2	0	36	136	97
PF3D7_1314700	1	4	4	5	3	14	2	17
