	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
PF3D7_1102200	26	254	11	5	13	13	7	16	10	16	3	8	6	6	2	8	27	17	11	0	3	6	21	25	10	1	3	2	32	1	15	1	2	7	3	1	17	2	6	1	10	6	6
PF3D7_0907900	12	515	22	34	7	3	34	6	7	32	4	8	0	1	10	2	9	27	2	0	38	15	39	2	34	4	7	70	62	0	69	16	21	0	3	15	679	16	5	2	98	10	1
PF3D7_1237200	5485	8309	3330	1793	773	1614	645	3068	3567	3390	329	559	1103	4651	517	431	2007	2392	2512	285	558	1070	4699	2329	877	909	1733	736	2050	564	1263	238	1274	1672	353	320	5225	2256	337	120	3658	715	3490
PF3D7_0415000	3460	8631	1923	881	472	717	430	1172	1419	2055	371	583	300	2184	239	78	1322	1366	1146	156	281	684	2235	768	490	267	584	750	2185	304	804	160	1510	1135	230	241	4039	1051	302	144	4303	293	1357
PF3D7_0106600	7	17	7	4	2	2	5	2	2	2	0	7	2	3	0	0	14	13	7	1	1	2	3	1	0	11	3	1	0	3	4	0	1	0	4	1	3	3	4	1	2	11	0
PF3D7_0806100	59	119	87	30	13	25	36	17	32	25	25	65	1	51	10	6	49	19	11	0	84	25	34	0	114	3	4	116	358	4	181	48	164	2	4	88	788	12	7	7	52	32	2
PF3D7_1246200	1479	180	978	86	1207	4770	60	2191	2271	778	61	107	1074	356	2119	3102	2129	12331	1194	11	125	405	254	3708	202	1142	934	101	2587	459	169	223	130	931	221	317	1697	200	571	196	46	892	220
PF3D7_1109100	42	42	69	5	8	36	5	21	18	15	6	11	3	53	7	4	30	25	20	2	6	2	8	4	3	16	15	2	6	6	6	4	2	3	7	5	14	6	13	2	4	9	3
PF3D7_0716700	12	56	19	9	0	6	3	12	5	3	1	12	1	1	6	4	11	19	10	1	1	6	4	1	5	0	1	8	18	3	71	5	90	0	3	5	115	7	10	0	15	5	0
PF3D7_0405500	426	1411	215	163	95	43	121	169	289	507	73	76	30	339	27	1	113	149	135	17	34	102	517	50	71	18	75	104	260	14	116	20	174	138	11	33	650	166	31	7	805	31	329
PF3D7_0832800	0	0	17	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	3	0	0	0	0
PF3D7_1422600	21	37	14	6	5	8	5	15	9	4	0	4	2	4	14	3	30	38	15	1	0	1	6	4	4	1	5	8	21	4	6	0	3	2	7	3	17	10	13	0	7	7	0
PF3D7_1312900	3320	4210	2580	871	494	556	423	622	1645	1550	215	768	98	1937	191	143	899	706	441	51	1507	581	1624	279	2036	112	307	2039	2889	110	1419	473	1722	340	53	683	11538	441	50	35	1464	442	857
PF3D7_0914700	41447	56946	24035	11981	8433	12116	3381	25645	22722	28110	2698	5194	9573	30819	4577	4035	19071	36738	24557	3406	1912	9150	44171	25437	1927	8086	16487	2594	10916	7279	6025	1487	6164	15485	5575	2191	20332	24444	9057	2278	58193	7247	36089
PF3D7_1224900	1776	2594	1367	254	282	750	171	1044	966	1116	90	219	300	950	122	262	660	825	709	68	129	287	1553	809	185	206	628	278	465	153	355	82	367	592	82	123	1784	697	223	50	1458	349	983
PF3D7_1220300	40	34	24	13	11	16	5	25	27	13	2	11	1	1	32	3	31	104	24	1	3	6	8	1	1	16	9	2	70	19	6	7	6	2	8	3	24	16	16	6	1	22	0
PF3D7_1314000	8	25	38	2	3	6	2	5	7	11	4	8	3	3	6	2	13	11	19	0	7	6	3	2	6	3	1	3	10	3	17	1	2	6	9	3	25	9	5	0	2	5	2
PF3D7_0314900	2	16	3	5	3	4	0	3	4	4	0	2	0	2	14	4	20	32	4	0	0	0	6	1	0	4	0	0	7	5	1	0	1	1	1	0	1	4	3	0	2	5	0
PF3D7_0205400	1434	3242	696	387	211	467	170	737	850	783	67	158	164	1027	75	50	648	830	648	58	98	274	1448	331	86	155	388	122	414	138	197	59	196	473	89	63	857	571	120	40	1361	176	794
PF3D7_1457200	109	557	69	42	20	54	79	78	59	322	75	94	22	63	50	13	65	79	50	3	120	89	16	39	243	3	26	608	1013	8	385	119	1415	25	4	159	5421	90	32	8	1131	40	11
PF3D7_1010900	352	1429	211	114	27	42	78	136	214	371	16	32	26	277	27	0	65	220	84	13	49	80	608	37	78	3	40	26	204	4	76	14	111	53	14	21	370	95	14	9	469	34	93
PF3D7_0422500	10103	13490	8432	5107	2825	4139	2394	6881	9161	8647	1235	1894	1622	8171	1070	602	5733	7097	7373	908	1056	3483	6031	4355	1713	1657	3472	1669	5362	1428	2469	749	4576	4036	1176	1197	9501	6714	1395	480	5487	1248	9525
PF3D7_1336700	10781	17821	7338	2778	3163	4281	844	9027	6559	8129	629	2026	3198	5986	1212	5123	6402	10273	6612	834	1369	2352	10343	8144	2309	4120	4621	1589	2720	2000	1239	393	1467	3416	978	542	8257	6084	1585	326	10670	3529	8776
PF3D7_1120800	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0
PF3D7_0937400	5	19	0	10	2	9	0	8	0	17	0	0	0	2	1	0	25	0	20	0	0	2	22	3	0	0	4	0	0	0	1	0	3	0	0	0	0	5	0	0	0	3	1
PF3D7_0826700	35491	167246	14897	15070	7774	5907	7865	12593	19454	36162	5523	8907	2022	22563	2636	587	12937	18765	11524	2962	4647	11317	49360	8138	12609	2064	6196	12160	33050	2035	12630	2947	31471	10036	2282	4239	81015	19879	4996	2065	76603	2987	15154
PF3D7_1219400	169	151	241	40	24	0	26	42	62	51	6	59	6	13	4	19	109	121	63	12	9	21	29	4	8	13	18	5	0	13	4	2	46	6	0	10	32	25	34	10	14	18	0
PF3D7_1249400	4	48	8	4	4	2	6	2	0	9	1	1	1	6	7	2	4	23	2	5	1	1	17	0	3	2	0	1	12	2	7	1	1	3	3	3	24	1	4	0	13	1	2
PF3D7_0528100	7834	11732	5522	2932	1593	1928	1097	4127	4365	5886	716	1486	1116	5815	961	964	3400	7321	4630	522	736	2119	4595	3151	1017	1398	2615	1173	4075	1116	2069	560	2799	3481	862	893	6661	4159	881	382	3856	1054	5653
PF3D7_1411800	1020	2206	812	284	145	118	84	325	490	781	16	25	129	581	84	125	499	575	508	29	43	155	1264	296	48	183	163	62	126	84	64	23	83	227	58	26	411	308	35	13	850	217	452
PF3D7_1023100	113	230	155	39	13	59	17	57	37	66	9	36	2	50	13	9	115	128	79	7	8	10	38	2	12	43	15	12	56	14	45	14	85	14	33	16	189	61	42	7	28	26	20
PF3D7_0906600	38337	56089	29403	13023	11758	23401	6054	29929	30992	33854	2368	4936	13069	33773	5085	17016	21129	36789	32286	2305	2914	10231	27073	30402	4041	13555	19793	3506	13151	10376	7168	2504	8939	17560	4976	3727	16017	23806	2900	1517	23706	11761	28399
PF3D7_1212200	6	125	27	2	6	20	7	17	6	17	0	7	2	3	6	3	15	9	9	0	7	15	7	0	19	7	1	10	41	1	24	6	23	0	1	6	70	7	3	0	22	6	5
PF3D7_1142400	2589	6885	1866	825	372	439	399	1084	1337	1975	188	381	177	1838	203	46	976	1563	1110	146	246	688	2674	463	467	158	585	476	1283	205	748	110	1240	812	157	169	3659	1047	223	94	3693	219	1323
PF3D7_1125500	842	3102	1758	286	109	160	148	318	523	907	95	193	53	565	105	40	352	510	332	36	105	390	1047	127	122	46	139	229	658	53	344	98	582	263	59	106	2227	473	138	50	1979	69	472
PF3D7_0402100	22629	29970	13316	4179	4954	14825	2536	18724	15157	20602	724	1581	8040	12120	2955	18523	11094	34798	16851	499	1292	3399	16888	20518	2474	12454	6339	1851	9303	3600	2832	950	4840	3573	1462	1328	13493	5384	881	543	14522	10156	6241
PF3D7_0908700	28	179	44	12	6	7	15	8	14	24	13	46	2	5	5	5	9	15	8	1	34	17	17	0	38	1	4	63	224	1	132	40	195	2	0	47	643	2	2	3	32	10	4
PF3D7_1229700	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
PF3D7_0607200	2	7	0	1	3	1	1	2	3	4	2	3	0	0	1	0	4	6	2	0	1	2	7	0	0	2	3	0	3	0	0	0	0	0	5	0	0	0	1	0	1	4	0
PF3D7_0627400	111	253	65	23	12	15	16	23	58	99	16	13	0	111	5	2	49	19	24	3	12	22	96	11	30	1	12	17	48	5	41	8	43	25	8	17	181	25	11	2	169	15	22
PF3D7_1449300	11907	12845	5970	2162	1903	3755	876	6367	4957	5942	596	1057	2209	7479	770	1682	4077	7673	4601	528	458	1899	7645	6164	731	2516	3671	506	2554	1668	1012	262	845	3591	986	380	3182	4879	1188	443	5774	2280	5447
PF3D7_0812200	14	61	24	5	4	9	3	6	5	17	0	1	0	15	4	0	17	6	10	2	2	10	13	0	0	1	2	0	4	0	5	1	0	2	0	1	10	3	6	0	21	1	1
PF3D7_0623200	815	2436	711	380	234	157	150	610	626	1007	109	260	150	721	100	200	535	1011	614	92	112	392	1329	232	184	197	385	200	647	162	334	80	367	309	110	94	1399	759	128	48	1765	180	1064
PF3D7_0706300	7	4	6	1	6	7	0	10	7	9	0	1	0	2	12	18	15	118	3	0	0	2	1	1	0	1	1	0	16	0	1	0	0	0	0	0	0	1	1	0	4	11	0
