	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
PF3D7_0716300	24	57	14	7	3	15	4	21	12	13	2	14	4	10	1	5	26	32	17	1	16	4	16	13	20	4	10	9	19	2	16	2	20	0	5	3	158	6	8	0	15	10	5
PF3D7_1426600	4	14	3	7	0	0	0	1	1	1	0	2	0	1	0	0	7	5	2	1	1	0	1	1	2	4	0	0	1	0	1	1	0	0	1	0	0	1	2	0	1	0	1
PF3D7_0210400	1	17	1	0	0	3	0	2	3	2	0	0	0	0	0	0	4	2	2	0	0	0	1	0	0	0	0	1	4	0	3	0	1	0	1	0	8	2	3	1	0	2	0
PF3D7_0920800	637	793	63	151	110	92	63	274	289	289	23	109	31	314	25	4	425	480	137	32	49	61	594	76	80	40	206	67	127	23	193	17	276	88	42	25	631	158	35	31	594	64	166
PF3D7_1250000	283	470	116	45	20	34	31	79	140	72	2	18	8	90	3	9	60	78	47	4	15	14	190	25	16	13	25	14	21	3	10	0	24	17	8	5	108	25	4	1	135	8	50
PF3D7_1418500	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1009200	262	242	95	75	33	107	26	172	131	77	14	40	33	117	10	7	123	190	112	13	14	31	156	62	17	25	88	18	68	21	44	3	33	43	28	4	104	71	25	13	168	40	89
PF3D7_0921900	89	164	91	17	7	23	7	40	47	19	0	4	11	24	4	4	45	25	26	1	8	4	84	21	11	2	13	9	3	1	3	1	15	6	3	1	59	15	2	0	54	14	38
PF3D7_1463300	86	119	10	7	10	11	4	26	30	26	1	2	3	32	4	1	43	44	24	4	4	4	79	15	3	3	14	3	11	3	11	0	1	10	1	2	19	12	5	1	45	12	27
PF3D7_0318400	21	92	29	6	6	6	3	8	16	24	3	3	3	19	4	9	9	23	21	0	1	3	16	8	0	5	6	3	4	8	5	2	2	18	2	1	19	10	6	0	28	8	19
